Model,Task,MSE,RMSE,MAE,R2
Attention_LSTM,singlestep,0.9616227746009827,0.9806236661436347,0.7517778873443604,0.8702821731567383
CNN_LSTM,singlestep,0.9018073678016663,0.9496353867678196,0.7239159345626831,0.8783509731292725
LSTM,singlestep,0.8960694074630737,0.9466094270939169,0.7173767685890198,0.8791249990463257
Linear,singlestep,0.9120574593544006,0.9550169942751807,0.7296409010887146,0.8769683241844177
TCN,singlestep,0.8614515066146851,0.9281441195281501,0.6960898637771606,0.8837947845458984
Transformer,singlestep,0.9403825402259827,0.9697332314745033,0.7248020768165588,0.8731473684310913
WaveNet,singlestep,1.078640341758728,1.0385761126459283,0.7820582389831543,0.8544971346855164
Attention_LSTM,multistep_1h,0.975193202495575,0.9875187099470951,0.758276104927063,0.8684515953063965
CNN_LSTM,multistep_1h,1.0194694995880127,1.0096878228383328,0.7770010232925415,0.8624789714813232
LSTM,multistep_1h,0.8340260982513428,0.9132502933212465,0.6845859885215759,0.8874943256378174
Linear,multistep_1h,0.8970248699188232,0.9471139688120027,0.7151999473571777,0.8789961338043213
TCN,multistep_1h,0.9050527215003967,0.9513425889238832,0.7128427028656006,0.877913236618042
Transformer,multistep_1h,0.91715407371521,0.9576816139590495,0.7258476614952087,0.8762807846069336
WaveNet,multistep_1h,1.0648220777511597,1.0319021648156184,0.7871313691139221,0.8563611507415771
Attention_LSTM,multistep_16h,3.8546199798583984,1.9633186139438494,1.5581868886947632,0.4871545433998108
CNN_LSTM,multistep_16h,4.058300971984863,2.014522517120338,1.589840292930603,0.460055410861969
LSTM,multistep_16h,4.7978515625,2.190399863609382,1.6950898170471191,0.3616604208946228
Linear,multistep_16h,4.385342597961426,2.094120960680501,1.6621742248535156,0.41654348373413086
TCN,multistep_16h,4.801755905151367,2.1912909220711354,1.7237590551376343,0.3611409664154053
Transformer,multistep_16h,5.935900688171387,2.4363703922374746,1.9172338247299194,0.21024644374847412
WaveNet,multistep_16h,5.864145278930664,2.4215997354911205,1.9077439308166504,0.21979331970214844
